,node,degree,avg_degree,std_degree,closeness,avg_closeness,std_closeness,betweenness,avg_betweenness,std_betweenness,triangle_count,avg_triangle_count,std_triangle_count,clustering_coefficient,avg_clustering_coefficient,std_clustering_coefficient,community,within_1m_population,within_2m_population,within_3m_population,within_4m_population,within_5m_population
39,Rockridge,2,2.04,0.4932193286180591,0.201,0.169662,0.03310398514760815,720,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,46,39852.0,151725.0,317026.0,407626.0,536232.0
40,San Bruno,3,2.04,0.4932193286180591,0.1436,0.169662,0.03310398514760815,188,470.44,354.982561227323,1,0.12,0.32826072265931594,0.3333,0.066664,0.21295544782696607,14,43124.0,110856.0,133566.0,291725.0,334455.0
41,San Leandro,2,2.04,0.4932193286180591,0.2041,0.169662,0.03310398514760815,836,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,23,48088.0,123740.0,224179.0,330728.0,494839.0
42,SFO,2,2.04,0.4932193286180591,0.1226,0.169662,0.03310398514760815,0,470.44,354.982561227323,1,0.12,0.32826072265931594,1.0,0.066664,0.21295544782696607,14,135.0,22845.0,133566.0,211710.0,320354.0
43,South Hayward,2,2.04,0.4932193286180591,0.1735,0.169662,0.03310398514760815,440,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,45,79235.0,93452.0,234109.0,266634.0,411490.0
44,South San Francisco,2,2.04,0.4932193286180591,0.1443,0.169662,0.03310398514760815,276,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,14,0.0,186691.0,229815.0,389075.0,507636.0
45,Union City,2,2.04,0.4932193286180591,0.1636,0.169662,0.03310398514760815,360,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,45,74601.0,148456.0,227691.0,266079.0,326572.0
46,Walnut Creek,2,2.04,0.4932193286180591,0.1698,0.169662,0.03310398514760815,516,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,31,22734.0,43556.0,91133.0,198083.0,215621.0
47,Warm Springs,2,2.04,0.4932193286180591,0.1447,0.169662,0.03310398514760815,188,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,45,0.0,120913.0,120913.0,120913.0,321651.0
48,West Dublin,2,2.04,0.4932193286180591,0.1584,0.169662,0.03310398514760815,96,470.44,354.982561227323,0,0.12,0.32826072265931594,0.0,0.066664,0.21295544782696607,23,0.0,54420.0,90736.0,171748.0,229219.0
49,West Oakland,3,2.04,0.4932193286180591,0.229,0.169662,0.03310398514760815,980,470.44,354.982561227323,1,0.12,0.32826072265931594,0.3333,0.066664,0.21295544782696607,29,26254.0,42316.0,229058.0,246099.0,473317.0
